"date.time","open","low","high","close","yesterdays.daily.low","yesterdays.daily.high","todays.low","todays.high","last.4.days.down","last.4.days.up"
2008-1-17T23:0:0,156.380005,156.380005,156.419998,156.419998,156.300003,158.489990,156.339996,157.850006,0.000000,0.000000
2008-1-17T23:1:0,156.429993,156.429993,156.480011,156.470001,156.300003,158.489990,156.339996,157.850006,0.000000,0.000000
2008-1-18T0:31:0,155.959991,155.959991,155.989990,155.989990,156.000000,157.850006,155.959991,156.089996,0.000000,0.000000
2008-1-18T0:32:0,155.959991,155.929993,156.000000,155.989990,156.000000,157.850006,155.929993,156.089996,0.000000,0.000000

2008-1-21T16:0:0,160.809998,160.779999,160.830002,160.809998,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:1:0,160.800003,160.800003,160.860001,160.839996,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:2:0,160.850006,160.839996,160.860001,160.839996,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:3:0,160.830002,160.820007,160.850006,160.830002,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:4:0,160.839996,160.830002,160.880005,160.880005,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:5:0,160.889999,160.860001,160.889999,160.860001,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:6:0,160.850006,160.820007,160.869995,160.869995,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:7:0,160.860001,160.820007,160.860001,160.820007,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:8:0,160.809998,160.790009,160.809998,160.790009,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:9:0,160.800003,160.769989,160.800003,160.769989,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:10:0,160.779999,160.769989,160.800003,160.800003,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:11:0,160.790009,160.779999,160.830002,160.790009,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:12:0,160.779999,160.699997,160.779999,160.699997,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:13:0,160.709991,160.709991,160.750000,160.750000,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:14:0,160.760010,160.720001,160.769989,160.769989,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:15:0,160.779999,160.730011,160.839996,160.839996,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:16:0,160.850006,160.809998,160.850006,160.839996,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:17:0,160.830002,160.830002,160.880005,160.869995,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:18:0,160.860001,160.830002,160.869995,160.839996,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:19:0,160.830002,160.830002,160.860001,160.850006,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:20:0,160.839996,160.830002,160.880005,160.880005,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:21:0,160.869995,160.839996,160.869995,160.839996,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:22:0,160.850006,160.820007,160.850006,160.830002,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:23:0,160.839996,160.720001,160.880005,160.760010,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:24:0,160.750000,160.720001,160.880005,160.880005,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:25:0,160.889999,160.850006,160.910004,160.869995,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:26:0,160.880005,160.860001,160.910004,160.860001,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:27:0,160.869995,160.850006,160.899994,160.899994,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:28:0,160.889999,160.869995,160.910004,160.869995,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:29:0,160.889999,160.839996,160.889999,160.850006,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:30:0,160.839996,160.800003,160.860001,160.860001,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:31:0,160.850006,160.809998,160.880005,160.809998,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:32:0,160.800003,160.779999,160.830002,160.830002,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:33:0,160.820007,160.750000,160.860001,160.769989,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:34:0,160.779999,160.779999,160.839996,160.809998,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:35:0,160.800003,160.779999,160.830002,160.790009,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:36:0,160.779999,160.779999,160.850006,160.839996,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:37:0,160.850006,160.850006,160.970001,160.959991,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:38:0,160.970001,160.949997,161.029999,161.029999,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:39:0,161.040009,161.029999,161.130005,161.100006,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:40:0,161.110001,161.100006,161.139999,161.139999,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:41:0,161.149994,161.134995,161.199997,161.169998,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:42:0,161.160004,161.080002,161.160004,161.100006,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:43:0,161.110001,161.074997,161.160004,161.160004,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:44:0,161.169998,161.149994,161.179993,161.169998,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:45:0,161.179993,161.139999,161.220001,161.199997,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:46:0,161.179993,161.089996,161.190002,161.184998,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:47:0,161.199997,161.149994,161.250000,161.209991,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:48:0,161.220001,161.209991,161.260010,161.260010,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:49:0,161.250000,161.250000,161.369995,161.350006,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:50:0,161.380005,161.309998,161.380005,161.330002,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:51:0,161.339996,161.279999,161.350006,161.309998,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:52:0,161.320007,161.300003,161.339996,161.330002,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:53:0,161.309998,161.290009,161.360001,161.300003,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:54:0,161.309998,161.230011,161.309998,161.230011,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:55:0,161.220001,161.190002,161.260010,161.250000,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:56:0,161.260010,161.239990,161.330002,161.300003,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:57:0,161.290009,161.290009,161.389999,161.389999,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:58:0,161.399994,161.389999,161.440002,161.440002,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T16:59:0,161.449997,161.440002,161.470001,161.449997,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T17:0:0,161.459991,161.440002,161.480011,161.440002,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T17:1:0,161.429993,161.429993,161.510010,161.500000,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T17:2:0,161.510010,161.500000,161.559998,161.540009,160.019989,161.669998,160.580002,161.589996,0.000000,0.000000
2008-1-21T17:3:0,161.550003,161.540009,161.839996,161.839996,160.019989,161.669998,160.580002,161.839996,0.000000,0.000000
2008-1-21T17:4:0,161.830002,161.769989,161.850006,161.779999,160.019989,161.669998,160.580002,161.850006,0.000000,0.000000
2008-1-21T17:5:0,161.769989,161.769989,161.850006,161.850006,160.019989,161.669998,160.580002,161.850006,0.000000,0.000000












